id,cine_id,numero,capacidad,tipo_sala
1105,123,5,140,2D
1106,123,6,140,IMAX
1107,123,7,180,2D
1108,123,8,160,2D
1109,123,9,100,2D
1110,123,10,120,2D
1111,123,11,100,2D
1112,123,12,160,2D
1113,124,1,140,3D
1114,124,2,160,XD
1115,124,3,80,3D
1116,124,4,140,3D
1117,124,5,180,2D
1118,124,6,120,2D
1119,124,7,80,3D
1120,124,8,80,2D
1121,124,9,140,3D
1122,124,10,140,2D
1123,124,11,120,2D
1124,125,1,120,3D
1125,125,2,80,2D
1126,125,3,100,2D
1127,125,4,140,3D
1128,125,5,180,2D
1129,125,6,120,2D
1130,125,7,180,2D
1131,126,1,80,2D
1132,126,2,180,IMAX
1133,126,3,140,2D
1134,126,4,160,3D
1135,126,5,120,2D
1136,126,6,160,XD
1137,126,7,120,2D
1138,126,8,80,2D
1139,127,1,100,XD
1140,127,2,120,3D
1141,127,3,180,2D
1142,127,4,180,3D
1143,127,5,180,2D
1144,127,6,120,IMAX
1145,127,7,100,2D
1146,127,8,180,XD
1147,127,9,100,2D
1148,128,1,120,XD
1149,128,2,180,IMAX
1150,128,3,120,2D
1151,128,4,140,2D
1152,128,5,80,3D
1153,128,6,120,2D
1154,128,7,140,3D
1155,128,8,160,2D
1156,128,9,80,3D
1157,128,10,160,XD
1158,128,11,80,3D
1159,129,1,120,2D
1160,129,2,180,IMAX
1161,129,3,80,2D
1162,129,4,100,2D
1163,129,5,120,XD
1164,129,6,160,2D
1165,129,7,120,IMAX
1166,129,8,160,2D
1167,129,9,100,3D
1168,130,1,120,2D
1169,130,2,140,2D
1170,130,3,180,3D
1171,130,4,140,2D
1172,130,5,80,IMAX
1173,130,6,100,IMAX
1174,131,1,100,XD
1175,131,2,140,2D
1176,131,3,140,2D
1177,131,4,100,2D
1178,131,5,180,XD
1179,131,6,100,2D
1180,131,7,100,IMAX
1181,131,8,160,2D
1182,131,9,140,2D
1183,131,10,160,XD
1184,131,11,180,2D
1185,132,1,180,2D
1186,132,2,100,2D
1187,132,3,180,2D
1188,132,4,80,2D
1189,132,5,140,2D
1190,132,6,160,2D
1191,132,7,120,XD
1192,132,8,140,2D
1193,132,9,80,2D
1194,132,10,100,3D
1195,132,11,160,2D
1196,132,12,80,XD
1197,133,1,80,2D
1198,133,2,120,IMAX
1199,133,3,140,2D
1200,133,4,160,2D
1201,133,5,100,3D
1202,133,6,80,2D
1203,133,7,160,3D
1204,133,8,80,2D
1205,133,9,180,2D
1206,133,10,160,XD
1207,134,1,140,2D
1208,134,2,140,3D
1209,134,3,180,2D
1210,134,4,160,3D
1211,134,5,80,XD
1212,134,6,120,2D
1213,134,7,140,3D
1214,134,8,80,2D
1215,135,1,120,XD
1216,135,2,100,2D
1217,135,3,80,IMAX
