id,nombre,ciudad,distrito,nro_salas
171,Cine Alcalde y asociados S.A.,Teruel,Ville,8
172,Cine Banca Privada Lucena & Asociados S.Coop.,Teruel,Ville,8
173,Cine Comercializadora YXS S.Com.,Baleares,Ville,11
174,Cine Garcia y Vaquero S.L.,Ceuta,Ville,8
175,Cine Apolinar Pascual Arnal S.L.,Burgos,Ville,11
176,Cine Comercializadora Angulo S.L.,Almería,Ville,8
177,Cine Tecnologías Salazar S.Com.,Burgos,Ville,6
178,Cine Transportes Duque S.Com.,Huesca,Ville,10
179,Cine Finanzas RJV S.L.N.E,Cáceres,Ville,12
180,Cine Consultoría PA S.Com.,Segovia,Ville,9
181,Cine Benavent y Riera S.Com.,Asturias,Ville,7
182,Cine Olga Sarmiento Vergara S.Com.,Jaén,Ville,6
183,Cine Minería Español & Asociados S.C.P,Melilla,Ville,6
184,Cine Banco UTFB S.Com.,Almería,Ville,10
185,Cine Desarrollo MFUN S.L.,Ourense,Ville,7
186,Cine Isidro Tejada Sarabia S.L.,Zamora,Ville,6
187,Cine Iris Téllez Larrea S.L.L.,Madrid,Ville,9
188,Cine Hermanos Frutos S.L.,Córdoba,Ville,12
189,Cine Finanzas Huguet & Asociados S.L.,Cádiz,Ville,9
190,Cine Hermanos Sevilla S.L.U.,Cádiz,Ville,10
191,Cine Banca Privada Alcántara S.A.,Huelva,Ville,10
192,Cine Julio César Avilés Pou S.L.,Girona,Ville,10
193,Cine Valenciano y Alarcón S.Coop.,Sevilla,Ville,9
194,Cine Cañizares y Álamo S.Coop.,Guadalajara,Ville,9
195,Cine Camacho y Larrea S.C.P,Cáceres,Ville,10
196,Cine Asunción Gil Mercader S.L.,Navarra,Ville,12
197,Cine Carlos & Asociados S.L.N.E,Santa Cruz de Tenerife,Ville,11
198,Cine Grupo Leon S.A.,Barcelona,Ville,12
199,Cine Banco Briones y asociados S.A.,Ávila,Ville,12
200,Cine Compañía Costa S.Com.,Pontevedra,Ville,6
201,Cine Javier Pedrero Garrido S.A.T.,Murcia,Ville,9
202,Cine Jennifer Paz Mas S.Coop.,Ourense,Ville,10
203,Cine Consultoría Miranda & Asociados S.Coop.,Cáceres,Ville,9
204,Cine Instalaciones Bermúdez & Asociados S.Com.,Valladolid,Ville,7
205,Cine Rico Cueto Amador S.Com.,Badajoz,Ville,12
206,Cine Recio & Asociados S.L.,Barcelona,Ville,7
207,Cine Grupo Mendoza S.Coop.,Lugo,Ville,8
208,Cine Ale Solano Molina S.Com.,Cantabria,Ville,6
209,Cine Rubén Arce Perales S.A.,Ciudad,Ville,9
210,Cine Infraestructuras HURD S.A.,Baleares,Ville,7
211,Cine Toribio Carrasco Escudero S.L.,Huelva,Ville,8
212,Cine Caridad Gascón Barroso S.A.T.,Granada,Ville,9
213,Cine Anguita y Estévez S.Com.,Córdoba,Ville,8
214,Cine Hnos Alemán S.L.N.E,La Rioja,Ville,10
215,Cine Puerta y asociados S.Coop.,Ceuta,Ville,9
216,Cine Hnos Batlle S.C.P,Murcia,Ville,7
217,Cine Compañía Pozo S.A.,Almería,Ville,7
218,Cine Instalaciones Gual y asociados S.L.N.E,La Rioja,Ville,6
219,Cine Martorell & Asociados S.L.N.E,Asturias,Ville,9
220,Cine Despacho OBFX S.C.P,Burgos,Ville,12
221,Cine Hermanos Naranjo S.L.L.,Baleares,Ville,7
222,Cine Familia León S.L.,Cuenca,Ville,7
223,Cine Castell y Polo S.Coop.,Baleares,Ville,11
224,Cine Fábrica Córdoba & Asociados S.A.T.,Cantabria,Ville,7
225,Cine Coello & Asociados S.L.N.E,Santa Cruz de Tenerife,Ville,9
226,Cine Minería Montserrat y asociados S.Com.,Baleares,Ville,10
227,Cine Talleres Colomer S.L.,Alicante,Ville,6
228,Cine Edmundo Fuster Manzanares S.L.,La Rioja,Ville,9
229,Cine Pomares & Asociados S.L.,Vizcaya,Ville,11
230,Cine Alimentación Ibéricos S.Com.,Badajoz,Ville,7
231,Cine Banco YTFG S.L.N.E,Zamora,Ville,6
232,Cine Distribuciones Internacionales S.L.N.E,Jaén,Ville,9
233,Cine Pérez & Asociados S.Com.,Teruel,Ville,7
234,Cine Santos Valls Atienza S.L.,Palencia,Ville,9
235,Cine Palmer y asociados S.Com.,Pontevedra,Ville,10
236,Cine Comercializadora Avanzadas S.Coop.,Cádiz,Ville,10
237,Cine Transportes Gálvez y asociados S.L.N.E,Girona,Ville,10
238,Cine Hermanos Rodríguez S.C.P,La Coruña,Ville,9
239,Cine Guijarro y Castells S.L.N.E,Guadalajara,Ville,6
240,Cine Rocamora y asociados S.Com.,Zamora,Ville,11
241,Cine Transportes del Mediterráneo S.L.N.E,Lleida,Ville,10
242,Cine Despacho PYCQ S.C.P,Granada,Ville,9
243,Cine Pombo y Quiroga S.A.T.,Segovia,Ville,11
244,Cine Carlito Mayo Luque S.Com.,Valladolid,Ville,6
245,Cine Damián Bermúdez Tolosa S.C.P,Melilla,Ville,8
246,Cine Fábrica HFFA S.A.T.,Sevilla,Ville,6
247,Cine Banca Privada Hidalgo S.Coop.,Ceuta,Ville,11
248,Cine Chaparro y Figueroa S.A.,Lugo,Ville,12
249,Cine Soluciones QJT S.L.N.E,Huelva,Ville,12
250,Cine Victor Salom Tormo S.Coop.,Ceuta,Ville,11
251,Cine Hotel TO S.L.,Vizcaya,Ville,6
252,Cine Palomino y Sotelo S.L.N.E,La Coruña,Ville,7
253,Cine Zurita y Samper S.Coop.,Córdoba,Ville,12
254,Cine Inmobiliaria Rodrigo y asociados S.L.N.E,Castellón,Ville,8
255,Cine Soluciones Font & Asociados S.A.,Castellón,Ville,12
256,Cine Supermercados Ariza & Asociados S.L.U.,Cádiz,Ville,10
257,Cine Yago Montenegro Anguita S.C.P,Ciudad,Ville,12
258,Cine Manufacturas DLFB S.Coop.,Navarra,Ville,9
259,Cine Cortina y Canals S.L.N.E,Lleida,Ville,12
260,Cine Banca Privada Iberia S.L.,Zaragoza,Ville,12
261,Cine Hnos Lago S.A.,Valladolid,Ville,8
262,Cine Inversiones ISDV S.L.,León,Ville,6
263,Cine Inmobiliaria Blazquez y asociados S.Com.,Ciudad,Ville,7
264,Cine Tomás Aguilera Pou S.A.,Barcelona,Ville,6
265,Cine Construcción Pinilla S.Com.,Palencia,Ville,10
266,Cine Lozano y Abascal S.A.,Pontevedra,Ville,8
267,Cine Compañía Española S.Com.,Ciudad,Ville,9
268,Cine Hnos Cabrero S.L.,Almería,Ville,8
269,Cine Consultoría del Noroeste S.Coop.,Cuenca,Ville,9
270,Cine Ernesto Lumbreras Guillén S.L.N.E,Zaragoza,Ville,6
271,Cine Modesto Balaguer Cobos S.L.L.,Alicante,Ville,6
272,Cine Grupo Boix S.L.L.,Huelva,Ville,8
273,Cine Suministros Almazán S.L.,Huelva,Ville,9
274,Cine Goicoechea y Paz S.L.,Teruel,Ville,10
275,Cine Restauración Llorente S.L.,Palencia,Ville,6
276,Cine Andrade y asociados S.L.L.,La Coruña,Ville,10
277,Cine Inmobiliaria Cañellas y asociados S.A.,Cuenca,Ville,12
278,Cine Adadia y Palma S.C.P,Ceuta,Ville,7
279,Cine Hermanos Marí S.L.N.E,Palencia,Ville,8
280,Cine Banca Privada JCI S.L.L.,Zamora,Ville,11
281,Cine Distribuciones del Mediterráneo S.L.,Teruel,Ville,12
282,Cine Luisa Larrañaga Estévez S.Coop.,La Coruña,Ville,8
283,Cine Supermercados del Norte S.Coop.,La Coruña,Ville,9
284,Cine Grupo Pablo S.A.T.,Zaragoza,Ville,11
285,Cine Inmobiliaria Saavedra & Asociados S.A.,Badajoz,Ville,6
286,Cine Instalaciones UC S.Coop.,Albacete,Ville,12
287,Cine Cecilio Nieto Cabanillas S.L.,Cuenca,Ville,7
288,Cine Supermercados Moles & Asociados S.Com.,León,Ville,7
289,Cine Familia Rico S.L.N.E,Lugo,Ville,11
290,Cine Manufacturas GDF S.A.,Valladolid,Ville,9
291,Cine Hermanos Alsina S.L.N.E,Melilla,Ville,9
292,Cine Riera y Berenguer S.L.,Lleida,Ville,10
293,Cine Compañía LEOY S.A.,Granada,Ville,8
294,Cine Fábrica Palma S.L.N.E,Córdoba,Ville,12
295,Cine Comercial Globales S.A.,Albacete,Ville,7
296,Cine Infraestructuras Internacionales S.L.,Almería,Ville,9
297,Cine Loida Exposito Segarra S.Com.,La Rioja,Ville,8
298,Cine Servicios del Noroeste S.Coop.,Melilla,Ville,9
299,Cine Mariscal y Arellano S.Com.,Lugo,Ville,9
300,Cine Talleres Tamarit y asociados S.A.,Cantabria,Ville,8
301,Cine Comercial FLKD S.L.,Santa Cruz de Tenerife,Ville,12
302,Cine Áurea Vidal Conesa S.L.,La Coruña,Ville,6
303,Cine Manufacturas AL S.L.,Las Palmas,Ville,9
304,Cine Cintia Cantón Cisneros S.Com.,Huesca,Ville,12
305,Cine Soluciones Vilalta y asociados S.L.,Málaga,Ville,11
306,Cine Castelló y Serna S.A.,Albacete,Ville,12
307,Cine Instalaciones Fuentes S.Coop.,Zaragoza,Ville,11
308,Cine Promociones Integrales S.L.,Ourense,Ville,9
309,Cine Agudo y asociados S.A.,Lleida,Ville,7
310,Cine Zaira Campillo Segura S.A.U,Las Palmas,Ville,10
311,Cine Hermanos Arcos S.Coop.,Baleares,Ville,9
312,Cine Grupo Andrés S.Coop.,Guipúzcoa,Ville,10
313,Cine Finanzas Cadenas S.L.N.E,Alicante,Ville,12
314,Cine Piñol y Fuente S.Coop.,Pontevedra,Ville,12
315,Cine Restauración QVT S.Coop.,Valencia,Ville,8
316,Cine Inversiones Ibérica S.Com.,Cantabria,Ville,10
317,Cine Blanca y Araujo S.L.,Ciudad,Ville,9
318,Cine Casandra Villalobos Valderrama S.A.,Teruel,Ville,10
319,Cine Familia Prado S.Com.,Cáceres,Ville,9
320,Cine Hermanos Badía S.L.N.E,León,Ville,10
321,Cine Consultoría Uría y asociados S.L.,Baleares,Ville,11
322,Cine Hnos Benavente S.L.N.E,Guadalajara,Ville,11
323,Cine Soluciones NNBU S.Coop.,Lugo,Ville,8
324,Cine Logística Baños S.L.L.,Cádiz,Ville,8
325,Cine Dalmau y asociados S.L.,Teruel,Ville,12
326,Cine Comercializadora Española S.L.N.E,Albacete,Ville,12
327,Cine Familia Galiano S.A.,Almería,Ville,7
328,Cine Finanzas Linares S.L.L.,Lleida,Ville,10
329,Cine Restauración Iborra & Asociados S.A.,Castellón,Ville,11
330,Cine Roura & Asociados S.A.,Ávila,Ville,12
331,Cine Carranza y Nadal S.A.,Melilla,Ville,7
332,Cine Restauración Roca S.L.U.,Valladolid,Ville,12
333,Cine Alemany y Tejera S.L.,Segovia,Ville,6
334,Cine Restauración MGK S.A.,Zaragoza,Ville,6
335,Cine Comercial Inteligentes S.C.P,Barcelona,Ville,12
336,Cine Hermanos Calderón S.A.D,Jaén,Ville,11
337,Cine Tiburcio Cepeda Cuenca S.Coop.,Salamanca,Ville,7
338,Cine Restauración Madrid S.L.N.E,Tarragona,Ville,10
339,Cine Ildefonso Iglesias Lledó S.A.,Jaén,Ville,12
340,Cine Infraestructuras UJWX S.L.,Ceuta,Ville,8
341,Cine Maribel Armas Figuerola S.Coop.,Ourense,Ville,8
342,Cine Grupo Gámez S.A.,Ceuta,Ville,11
343,Cine Estela Acero Carmona S.L.,Badajoz,Ville,9
344,Cine Inversiones Revilla y asociados S.L.L.,Toledo,Ville,9
345,Cine Eliseo Figueras Barceló S.L.,Segovia,Ville,12
346,Cine Supermercados Sanmartín S.L.L.,La Rioja,Ville,11
347,Cine Glauco Carreras Polo S.L.N.E,Cádiz,Ville,8
348,Cine Figuerola y Merino S.L.,Santa Cruz de Tenerife,Ville,11
349,Cine Alimentación UVCM S.L.N.E,Murcia,Ville,9
350,Cine Leon y Vazquez S.L.N.E,Zaragoza,Ville,12
351,Cine Alberdi y asociados S.L.N.E,Huesca,Ville,7
352,Cine Instalaciones Jurado y asociados S.A.,León,Ville,10
353,Cine Ruano y Morante S.A.,Santa Cruz de Tenerife,Ville,8
354,Cine Jimena Hervás Paredes S.Coop.,Pontevedra,Ville,10
355,Cine Logística EBDB S.Coop.,Baleares,Ville,9
356,Cine Inversiones del Levante S.C.P,Teruel,Ville,6
357,Cine Garay y Vila S.Com.,Albacete,Ville,8
358,Cine Rolando Salamanca Sarabia S.L.,Málaga,Ville,8
359,Cine Tecnologías VN S.L.,Almería,Ville,6
360,Cine Zabala & Asociados S.A.,Ourense,Ville,8
361,Cine Banca Privada Inteligentes S.L.N.E,Navarra,Ville,6
362,Cine Promociones HX S.Com.,Álava,Ville,7
363,Cine Mora y asociados S.Com.,Toledo,Ville,7
364,Cine Petrona Hervás Cañete S.A.U,Las Palmas,Ville,6
365,Cine Mendizábal y Cánovas S.L.U.,Cáceres,Ville,6
366,Cine Consultoría Castellana S.A.,Baleares,Ville,12
367,Cine Logística LDEO S.A.,Soria,Ville,12
368,Cine Grupo Águila S.A.,Salamanca,Ville,9
369,Cine Victor Manuel Mármol Alcaraz S.L.,Navarra,Ville,12
370,Cine Ariadna Ramos Suárez S.A.,Cádiz,Ville,10
371,Cine Infraestructuras OL S.A.,Murcia,Ville,10
372,Cine Instalaciones Dueñas S.Com.,La Rioja,Ville,7
373,Cine Inmobiliaria Morata y asociados S.A.,Lleida,Ville,6
374,Cine Finanzas Castellana S.Coop.,Valencia,Ville,9
375,Cine Barranco y Morera S.Com.,Córdoba,Ville,8
376,Cine Promociones Esteve y asociados S.L.,Jaén,Ville,6
377,Cine Supermercados Barrena S.A.,Cuenca,Ville,11
378,Cine Alimentación IZZP S.Coop.,Jaén,Ville,10
379,Cine Hotel TV S.Com.,Zaragoza,Ville,6
380,Cine Egea y Huertas S.L.,Valladolid,Ville,10
381,Cine Macarena Gracia Ponce S.L.,Cádiz,Ville,9
382,Cine Arranz y Carrión S.L.N.E,Murcia,Ville,11
383,Cine Díaz y Roura S.L.N.E,Salamanca,Ville,9
384,Cine Mulet y Frías S.Com.,Granada,Ville,7
385,Cine Fuster y Rebollo S.L.N.E,Jaén,Ville,8
386,Cine Despacho Integrales S.L.,Guadalajara,Ville,12
387,Cine Despacho Llopis S.Coop.,Cádiz,Ville,12
388,Cine Matas y Alcaraz S.Coop.,Valencia,Ville,7
389,Cine Manufacturas Uría & Asociados S.Com.,Albacete,Ville,8
390,Cine Alcázar & Asociados S.L.,Guipúzcoa,Ville,8
391,Cine Infraestructuras Jimenez & Asociados S.Com.,León,Ville,11
392,Cine Cañizares & Asociados S.Com.,Las Palmas,Ville,7
393,Cine Alimentación Morillo S.Coop.,Palencia,Ville,6
394,Cine Ramos y asociados S.L.N.E,Huesca,Ville,11
395,Cine Construcción del Levante S.L.,Guipúzcoa,Ville,9
396,Cine Supermercados Internacionales S.A.,Burgos,Ville,10
397,Cine Infraestructuras Internacionales S.A.,Huesca,Ville,11
398,Cine Mariana Ramirez Martí S.L.L.,Madrid,Ville,9
399,Cine Ramírez y Ribes S.Com.,Huesca,Ville,8
400,Cine Soluciones Acuña S.A.,León,Ville,8
401,Cine Flavia Bárcena Uribe S.L.U.,Badajoz,Ville,7
402,Cine Fanny Peral Alberto S.L.,Ourense,Ville,6
403,Cine Villanueva y Villanueva S.Coop.,Cuenca,Ville,9
404,Cine Familia Pedrosa S.L.N.E,Vizcaya,Ville,9
405,Cine Inversiones Anguita y asociados S.L.,Teruel,Ville,11
406,Cine Hotel Española S.L.,Valencia,Ville,12
407,Cine Restauración EEZ S.Coop.,Soria,Ville,7
408,Cine Infraestructuras ZA S.L.N.E,Valencia,Ville,10
409,Cine Quintanilla & Asociados S.A.D,Albacete,Ville,8
410,Cine Infraestructuras Font S.Coop.,Segovia,Ville,7
411,Cine Bas & Asociados S.L.,Lugo,Ville,12
412,Cine Valero y Ortuño S.L.L.,Melilla,Ville,10
413,Cine Familia Lastra S.Com.,Alicante,Ville,7
414,Cine Duarte y Canals S.A.,Granada,Ville,12
415,Cine Cuenca y asociados S.Com.,Baleares,Ville,6
416,Cine Consultoría VKV S.A.T.,Valladolid,Ville,8
417,Cine Infraestructuras Ocaña S.A.,Zamora,Ville,9
418,Cine Banco BJQR S.A.,Barcelona,Ville,11
419,Cine Promociones Inteligentes S.Com.,Pontevedra,Ville,8
420,Cine Industrias Rojas y asociados S.A.D,Navarra,Ville,7
421,Cine Finanzas Blanch y asociados S.Coop.,Álava,Ville,10
422,Cine Grupo Gimeno S.Com.,Córdoba,Ville,6
423,Cine Quero y asociados S.Coop.,La Coruña,Ville,10
424,Cine Servicios Inteligentes S.Coop.,Valladolid,Ville,9
425,Cine Xavier Valenzuela Lucas S.Coop.,Las Palmas,Ville,9
426,Cine Distribuciones del Noroeste S.L.,Castellón,Ville,11
427,Cine Soluciones del Mediterráneo S.Coop.,Jaén,Ville,12
